課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Data Analysis with Python,4.7 out of 5 stars,19K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-python,6 modules,"Predictive Modeling, Python Programming, Data Visualization, Data-Driven Decision-Making, Feature Engineering, Data Manipulation, Scikit Learn (Machine Learning Library), Data Import/Export, Regression Analysis, Data Pipelines, Data Cleansing, Data Analysis, Matplotlib, Pandas (Python Package), Data Wrangling, Supervised Learning, Exploratory Data Analysis, Descriptive Statistics, Statistical Modeling, NumPy",Importing Data Sets | Data Wrangling | Exploratory Data Analysis | Model Development | Model Evaluation and Refinement | Final Assignment,Joseph Santarcangelo
Microsoft SQL Server,N/A,N/A,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-sql-server,,"Database Design, SQL, Transact-SQL, Database Management Systems, Performance Tuning, Query Languages, Database Architecture and Administration, Databases, Operational Databases, Transaction Processing, Star Schema, Microsoft SQL Servers","SQL Foundations | Data Manipulation and Transactions in SQL Server | Relational Database Design and Advanced Querying | Indexing, Performance Optimization & Functions in SQL Server | Security, Maintenance & Integration with BI Tools",
PostgreSQL for Everybody,4.7 out of 5 stars,1.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/postgresql-for-everybody,,"Database Design, SQL, Text Mining, Database Management Systems, NoSQL, Query Languages, Database Architecture and Administration, Databases, Database Theory, Natural Language Processing, Data Integrity, Data Modeling","Database Design and Basic SQL in PostgreSQL | Intermediate PostgreSQL | JSON and Natural Language Processing in PostgreSQL | Database Architecture, Scale, and NoSQL with Elasticsearch","Charles Russell Severance, University of Michigan"
Intro to SQL,4.3 out of 5 stars,9 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/intro-to-sql,2 modules,"Data Access, SQL, Database Management, Data Synthesis, Relational Databases, Scripting, IT Automation, Stored Procedure, Data Manipulation, Query Languages, Database Management Systems","SQL Basics & Data Selection | Sorting, Aggregation & Data Manipulation",Gregor Thomson
The Structured Query Language (SQL),4.7 out of 5 stars,1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/the-structured-query-language-sql,6 modules,"Data Manipulation, Database Design, Relational Databases, Query Languages, SQL, Data Modeling, Data Science, Database Administration, Data Integrity, Data Access, Database Application, Database Management, Data Analysis, Database Theory, Database Systems","Introduction to SQL - Structured Query Language | The Basic SELECT Statement | Group Functions, SubTotals, and Subqueries | Getting Data from Multiple Tables | DDL and DML | Advanced SQL Commands","Alan Paradise, University of Colorado Boulder"
Introduction to Databases,4.7 out of 5 stars,1.3K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-databases,5 modules,"Query Languages, Relational Databases, Databases, SQL, Data Integrity, Database Administration, Data Manipulation, MySQL, Database Design, Database Management Systems","Introduction to Databases | Create, Read, Update and Delete (CRUD) Operations | SQL Operators and sorting and filtering data | Database design | Graded assessment",Taught by Meta Staff
Data Analysis with Spreadsheets and SQL,4.6 out of 5 stars,237 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-spreadsheets-and-sql,5 modules,"Data Analysis, Spreadsheet Software, Exploratory Data Analysis, Descriptive Statistics, Dashboard, Data Manipulation, Google Sheets, Data Visualization Software, Data Visualization, Statistical Analysis, Data-Driven Decision-Making, Data Storytelling, Correlation Analysis, SQL, Tableau Software, Data Cleansing, Pivot Tables And Charts",Working with Data in Spreadsheets | Data Analysis with Spreadsheets | Extracting Data with SQL | Data Visualization | Creating Dashboards,Brandon Larkin
IBM Data Science,4.6 out of 5 stars,144K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Matplotlib, SQL, Data Import/Export, Plotly, Unsupervised Learning, Supervised Learning, Data Mining, Feature Engineering, Jupyter, Generative AI, Exploratory Data Analysis, Dashboard","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman"
Data Analysis Using SQL,4.5 out of 5 stars,44 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-sql,5 modules,"Data Transformation, Database Management, Relational Databases, Data Cleansing, Database Design, SQL, Query Languages, Data Integrity, MySQL Workbench, Databases, Data Manipulation, Data Analysis",Introduction to Data Analysis using SQL | Data Analysis with SQL on a Single Table | Advanced functions on Single Tables in SQL | Analyzing Multiple Tables in SQL | CRUD Operations in SQL,"Analytics Vidhya, Fractal Analytics"
Introduction to Data Analytics,4.8 out of 5 stars,19K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/introduction-to-data-analytics,5 modules,"Data Wrangling, Apache Spark, Data Lakes, Relational Databases, Data Science, Data Collection, Data Analysis, Data Cleansing, Data Visualization Software, Big Data, Apache Hive, Data Mart, Statistical Analysis, Analytics, Data Visualization, Apache Hadoop, Data Warehousing, Microsoft Excel",What is Data Analytics | The Data Ecosystem | Gathering and Wrangling Data | Mining & Visualizing Data and Communicating Results | Career Opportunities and Data Analysis in Action,Rav Ahuja
