課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Investment Banking: Financial Analysis and Valuation,4.5 out of 5 stars,175 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/investment-banking-financial-analysis-valuation,5 modules,"Business Valuation, Spreadsheet Software, Corporate Finance, Financial Forecasting, Financial Statement Analysis, Cash Flows, Financial Analysis, Forecasting, Financial Modeling, Investment Banking, Income Statement, Balance Sheet, Benchmarking, Mergers & Acquisitions",Course Introduction and Module 1: Financial Spreads & Adjustments | Module 2: Introduction to Valuation Analysis and Comparable Public Companies Analysis | Module 3: Comparable Precedent Transaction Analysis | Module 4: Discounted Cash Flows | Course Conclusion,"Robert Metzger, James Bertram, University of Illinois Urbana-Champaign"
Create a Financial Statement using Microsoft Excel,4.5 out of 5 stars,733 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-financial-statement-using-microsoft-excel,,"Microsoft Excel, Data Entry, Excel Formulas, Financial Reporting, Financial Statements, Balance Sheet, Financial Accounting, Financial Data, Profit and Loss (P&L) Management, Bookkeeping",,"Paula Del Rey, Coursera Project Network"
"Financial Analysis: Portfolios, Risks, Strategic Decisions",4.4 out of 5 stars,122 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-analysis-portfolios-risks-strategic-decisions,1 module,"Portfolio Management, Quantitative Research, Market Dynamics, Investments, Financial Analysis, Business Valuation, Risk Management, Financial Planning, Financial Forecasting, Financial Market, Finance, Risk Analysis, Asset Management, Financial Management, Investment Management","Financial Analysis: Portfolios, Risks, Strategic Decisions","Arkadi Avanesyan, Coursera Instructor Network"
Python and Statistics for Financial Analysis,4.4 out of 5 stars,4.5K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-statistics-financial-analysis,4 modules,"Pandas (Python Package), Financial Analysis, Statistical Methods, Financial Data, Jupyter, Python Programming, Statistical Analysis, Financial Modeling, Statistical Inference, Financial Trading, Risk Analysis, Data Visualization, Data Manipulation, Probability & Statistics, Regression Analysis",Visualizing and Munging Stock Data | Random variables and distribution | Sampling and Inference | Linear Regression Models for Financial Analysis,"Xuhu Wan, The Hong Kong University of Science and Technology"
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6 out of 5 stars,1.3K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/advanced-valuation-and-strategy,5 modules,"Corporate Finance, Financial Analysis, Investment Banking, Game Theory, Business Valuation, Cash Flows, Business Strategy, Return On Investment, Private Equity, Strategic Thinking, Strategic Decision-Making, Competitive Analysis, Mergers & Acquisitions",Executive Summary | Discounted Cash Flow Analysis | Corporate Strategy | Corporate Real Options | Option Games,"Han Smit, Dyaran Bansraj, Nishad Matawlie, Yashvir Gangaram Panday, RenÃ©e Spigt, Erasmus University Rotterdam"
Microsoft Power BI Data Analyst,4.6 out of 5 stars,7.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,,"Data Analysis Expressions (DAX), Power BI, SQL, Star Schema, Data Cleansing, Interactive Data Visualization, Dashboard, Data Visualization Software, Data Validation, Spreadsheet Software, Extract, Transform, Load, Data Presentation","Preparing  Data for Analysis with Microsoft Excel | Harnessing the Power of Data with Power BI | Extract, Transform and Load Data in Power BI | Data Modeling in Power BI | Data Analysis and Visualization with Power BI | Creative Designing in Power BI | Deploy and Maintain Power BI Assets and Capstone project | Microsoft PL-300 Exam Preparation and Practice",
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",4.7 out of 5 stars,455 reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/10k-women-5,1 module,"Financial Analysis, Financial Statements, Financial Planning, Market Opportunities, Business Planning, Cash Flows, Strategic Planning, Financial Forecasting, Cash Flow Forecasting, Entrepreneurship, Strategic Decision-Making, Financial Management","Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women","Goldman Sachs 10,000 Women, Edward David, Anne Donnellon, Michael Fetters, Geetha Krishnan, Mori Taheripour, Sarah Underwood, Goldman Sachs"
Preparatory Certificate in Finance and Financial Markets,4.7 out of 5 stars,408 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-and-financial-markets,,"Environmental Social And Corporate Governance (ESG), Annual Reports, Corporate Finance, Enterprise Risk Management (ERM), Business Valuation, Mergers & Acquisitions, Banking, Capital Markets, Balance Sheet, Wealth Management, Loans, Capital Expenditure",Corporate Finance Fundamentals | Accounting Fundamentals | Reading Financial Statements | Introduction to Capital Markets | Economics for Capital Markets | Introduction to Banking | Introduction to Financial Planning and Wealth Management | Introduction to Risk Management | Fundamentals of Credit | Introduction to ESG,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Forecasting Financial Statements & Valuation for Accountants,4.6 out of 5 stars,38 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/forecasting-financial-statements-business-valuation-accountants,9 modules,"Financial Forecasting, Financial Analysis, Financial Statement Analysis, Balance Sheet, Financial Statements, Trend Analysis, Financial Modeling, Generally Accepted Accounting Principles (GAAP), Finance, Financial Accounting, Business Valuation, Cash Flow Forecasting",Orientation | Module 1: Beyond the Financials - External | Module 2: Beyond the Financials- Internal | Module 3:  Non-GAAP Adjustments | Module 4:  Forecasting | Module 5: Forecasting- Advanced | Module 6:  Valuation | Module 7: Valuation- Advanced Part 1 | Module 8: Valuation- Advanced Part 2,"W. Brooke Elliott, Nerissa C. Brown, PhD, CFE, Brian Hamm, University of Illinois Urbana-Champaign"
Introduction to Financial Accounting,4.7 out of 5 stars,8.3K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-accounting,4 modules,"Depreciation, Financial Accounting, Financial Statement Analysis, Financial Statements, Cash Flows, Balance Sheet, Accrual Accounting, Financial Reporting, Revenue Recognition, Financial Analysis, Income Statement, Bookkeeping, Accounting",Week 1: Introduction and Balance Sheet | Week 2: Accrual Accounting and the Income Statement | Week 3: Cash Flows | Week 4: Ratio Analysis and Final Exam,"Brian J Bushee, University of Pennsylvania"
Financial Analysis - Skills for Success,4.7 out of 5 stars,428 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/financial-analysis-skills-for-success,,"Cost Management, Return On Investment, Business Valuation, Variance Analysis, Performance Measurement, Financial Data, Balance Sheet, Accounting, Financial Management, Finance, Financial Statements, Income Statement","Introduction to Financial Analysis - The ""Why?"" | Financial Analysis of Organizations | Financial Analysis of Scenarios and Decisions","Gies College of Business, University of Illinois, University of Illinois Urbana-Champaign"
Excel Skills for Business,4.9 out of 5 stars,62K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel,,"Data Analysis Expressions (DAX), Business Reporting, Financial Modeling, Data Management, Data Visualization, Data Cleansing, Productivity Software, Dashboard, Data Validation, Spreadsheet Software, Excel Macros, Finance",Excel Skills for Business: Essentials | Excel Skills for Business: Intermediate I | Excel Skills for Business: Intermediate II | Excel Skills for Business: Advanced,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Professor Yvonne Breyer, Macquarie University"
Financial Statement Analysis,4.6 out of 5 stars,684 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-statement-analysis,4 modules,"Financial Statement Analysis, Cash Flows, Financial Statements, Analysis, Sales Tax, Balance Sheet, Income Statement, Reconciliation, Financial Analysis, Payroll, Accounting, Equities",Understanding Reconciliations | How to Read Financial Statements | Analyzing Key Reports and Transactions | Application and Practice with Reconciliations and Financial Analysis,Intuit Academy Team
Introduction to Generative AI Learning Path,4.6 out of 5 stars,9.4K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/introduction-to-generative-ai,,"Governance, Organizational Effectiveness, Artificial Intelligence, Large Language Modeling, Generative AI, Prompt Engineering, Decision Making, Artificial Intelligence and Machine Learning (AI/ML), Accountability, Ethical Standards And Conduct, Business Ethics, Compliance Training",Introduction to Generative AI | Introduction to Large Language Models | Introduction to Responsible AI | Responsible AI: Applying AI Principles with Google Cloud,"Google Cloud Training, Google Cloud"
IBM Data Science,4.6 out of 5 stars,144K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Matplotlib, Jupyter, Data Wrangling, Generative AI, Professional Networking, SQL, Data Visualization, Plotly, Supervised Learning, Interactive Data Visualization, Dashboard, Exploratory Data Analysis","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman"
Risk Management,4.6 out of 5 stars,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/risk-management,,"Governance, Risk Appetite, Risk Modeling, Enterprise Risk Management (ERM), Derivatives, Operational Risk, Investment Management, Risk Management Framework, Market Data, Financial Market, Key Performance Indicators (KPIs), Risk Mitigation",Introduction to Risk Management | Credit Risk Management: Frameworks and Strategies | Market Risk Management: Frameworks & Strategies | Operational Risk Management: Frameworks & Strategies,"Jack Farmer, Joseph Iraci, Tracy Williams, New York Institute of Finance"
Google Advanced Data Analytics,4.7 out of 5 stars,6.9K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,,"Tableau Software, Statistical Hypothesis Testing, Statistical Analysis, Interviewing Skills, Sampling (Statistics), Descriptive Statistics, Data Visualization, Exploratory Data Analysis, Python Programming, Data Visualization Software, Regression Analysis, Data Science",Foundations of Data Science | Get Started with Python | Go Beyond the Numbers: Translate Data into Insights | The Power of Statistics | Regression Analysis: Simplify Complex Data Relationships | The Nuts and Bolts of Machine Learning | Google Advanced Data Analytics Capstone | Accelerate Your Job Search with AI,
Behavioral Finance,4.4 out of 5 stars,4.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/duke-behavioral-finance,3 modules,"Financial Market, Financial Planning, Finance, Behavioral Economics, Decision Making, Economics, Risk Analysis, Psychology, Consumer Behaviour",Week 1 | Week 2 | Week 3,"Emma Rasiel, John Forlines III, Duke University"
Financial Reporting,4.7 out of 5 stars,905 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financial-reporting,,"Inventory Accounting, Accrual Accounting, Tax Management, Balance Sheet, Cash Management, Cash Flows, Depreciation, Generally Accepted Accounting Principles (GAAP), Accounts Receivable, Financial Reporting, Accounting, Revenue Recognition",Accounting Analysis I: The Role of Accounting as an Information System | Accounting Analysis I: Measurement and Disclosure of Assets | Accounting Analysis II: Measurement and Disclosure of Liabilities | Accounting Analysis II: Accounting for Liabilities and Equity,"Scott Mendoza, Gerlando Lima, University of Illinois Urbana-Champaign"
Data Science,4.5 out of 5 stars,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/jhu-data-science,,"R Programming, Shiny (R Package), Statistical Hypothesis Testing, Statistical Analysis, Machine Learning Algorithms, GitHub, Data Wrangling, Leaflet (Software), Data Visualization, Plotly, Data Cleansing, Exploratory Data Analysis",The Data Scientistâs Toolbox | R Programming | Getting and Cleaning Data | Exploratory Data Analysis | Reproducible Research | Statistical Inference | Regression Models | Practical Machine Learning | Developing Data Products | Data Science Capstone,"Roger D. Peng, PhD, Brian Caffo, PhD, Jeff Leek, PhD, Johns Hopkins University"
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"IBM Cognos Analytics, Matplotlib, Jupyter, Data Wrangling, Generative AI, Big Data, Professional Networking, SQL, Data Visualization, Plotly, Interactive Data Visualization, Dashboard","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy"
Advanced Data Modeling,4.3 out of 5 stars,102 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-data-modeling,4 modules,"Extract, Transform, Load, Databases, Database Design, Database Management, Data Warehousing, Data Analysis, Data Visualization Software, Relational Databases, Advanced Analytics, Database Architecture and Administration, Data Modeling, MySQL Workbench, MySQL",Data modeling and management | Data warehousing | Advanced data analytics | Model and analyze data,Taught by Meta Staff
Financial Management,4.7 out of 5 stars,6.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financial-management,,"Corporate Finance, Accrual Accounting, Business Valuation, Mergers & Acquisitions, Bookkeeping, Cash Flows, Risk Management, Revenue Recognition, Financial Management, Business Ethics, Finance, Working Capital",Financial Accounting: Foundations | Financial Accounting: Advanced Topics | Investments I: Fundamentals of Performance Evaluation | Investments II: Lessons and Applications for Investors | Corporate Finance I: Measuring and Promoting Value Creation | Corporate Finance II: Financing Investments and Managing Risk,"Oktay Urcan, Stefan Zeume, Gies College of Business, University of Illinois, Heitor Almeida, University of Illinois Urbana-Champaign"
Fintech: Foundations & Applications of Financial Technology,4.6 out of 5 stars,3.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/wharton-fintech,,"Lending and Underwriting, Digital Assets, Return On Investment, Investment Management, Financial Market, FinTech, Credit/Debit Card Processing, Financial Services, Emerging Technologies, Payment Processing, Cryptography, Fundraising and Crowdsourcing","FinTech: Foundations, Payments, and Regulations | Cryptocurrency and Blockchain: An Introduction to Digital Currencies | Lending, Crowdfunding, and Modern Investing | Application of AI, InsurTech, and Real Estate Technology","Christopher Geczy, Jessica Wachter, David Musto, Natasha Sarin, Sarah Hammer, University of Pennsylvania"
Introduction to Spreadsheets and Models,4.2 out of 5 stars,3.9K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,4 modules,"Spreadsheet Software, Simulation and Simulation Software, Microsoft Excel, Financial Modeling, Probability & Statistics, Business Modeling, Forecasting, Data Modeling, Regression Analysis, Statistical Analysis, Google Sheets, Process Improvement and Optimization, Risk Analysis",Spreadsheets: A Tool for Thinking with Numbers | From Spreadsheet to Model | Addressing Uncertainty and Probability in Models | Simulation and Optimization,"Don Huesman, University of Pennsylvania"
Accounting: Principles of Financial Accounting,4.8 out of 5 stars,3.2K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-accounting,4 modules,"Financial Statements, Financial Accounting, Financial Reporting, Income Statement, Generally Accepted Accounting Principles (GAAP), Accounting, Accrual Accounting, Cash Flows, Balance Sheet, Financial Statement Analysis, Financial Analysis",Course Overview & Module 1: Introduction to Accounting - The Balance Sheet | Module 2: The Income Statement | Module 3: The Cash Flow Statement | Week 4: Accrual Accounting,"Marc Badia, IESE Business School"
Reading Financial Statements,4.6 out of 5 stars,28 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/reading-financial-statements,6 modules,"Business, Financial Statement Analysis, Cash Flows, Income Statement, Balance Sheet, Management Reporting, Annual Reports, Financial Reporting, Financial Statements, Financial Analysis, Business Risk Management, Corporate Finance, Accounting",Getting Started | Understanding the Annual Report | Understanding Financial Statements | Income Statement and Cashflow Statement | Course Summary | Qualified Assessment,"CFI (Corporate Finance Institute), Corporate Finance Institute"
The Path to Insights: Data Models and Pipelines,4.7 out of 5 stars,647 reviews,Advanced · Course · 1 - 4 Weeks,https://www.coursera.org/learn/the-path-to-insights-data-models-and-pipelines,4 modules,"Data Quality, Process Optimization, Quality Assurance, Performance Testing, Database Systems, Database Design, Data Lakes, Extract, Transform, Load, Data Transformation, Data Warehousing, Data Management, Data Modeling, Data Pipelines, Business Intelligence, Data Validation, Data Mart",Data models and pipelines | Dynamic database design | Optimize ETL processes | Course 2 end-of-course project,
