課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Create Charts and Dashboards Using Microsoft Excel,4.6 out of 5 stars,947 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-charts-dashboards-using-microsoft-excel,,"Data Analysis, Trend Analysis, Dashboard, Microsoft 365, Data Visualization, Spreadsheet Software, Microsoft Excel",,"Paula Del Rey, Coursera Project Network"
How To Visualize Your Data Using Microsoft Powerpoint,4.5 out of 5 stars,237 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/microsoft-powerpoint-how-to-customize-your-slides-and-visualize-your-data,,"Data Visualization, Presentations, Microsoft PowerPoint, Video Editing, Data Storytelling",,"Ashraf Badr, Coursera Project Network"
Introduction to Microsoft Power Platform,4.6 out of 5 stars,118 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-microsoft-power-platform,1 module,"Data Security, Data Integration, Productivity Software, Self Service Technologies, Data Modeling, Microsoft Power Platform, Application Development, Business Intelligence, Real Time Data",Introduction to Microsoft Power Platform,
Microsoft Generative AI for Data Analysis,4.3 out of 5 stars,72 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-genai-for-data-analysis,,"Text Mining, Automation, Risk Analysis, Prompt Engineering, Generative AI, Excel Formulas, Data Storytelling, Data Presentation, Dashboard, Predictive Modeling, Data Visualization Software, Microsoft Copilot",Introduction to Generative AI for Data Analysis | Data Processing and Optimization with Generative AI | Advanced Data Analysis with Generative AI | Data Visualization and Reporting with Generative AI | Coding and Automation for Data Analysis with Generative AI | Scenario and Root Cause Analysis with Generative AI,
Microsoft Power Platform Fundamentals PL-900 Exam Prep,4.3 out of 5 stars,181 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/microsoft-power-platform-fundamentals,,"Data Integration, Automation, Data Security, Data Analysis Software, Application Development, Performance Analysis, Business Intelligence, Dashboard, Microsoft Power Platform, Data Modeling, Workflow Management, Productivity Software",Introduction to Microsoft Power Platform | Use Power Platform for Custom & Automated Solutions | Power BI & Power Virtual Agents | The PL-900 Practice Exam,
Microsoft Excel,4.2 out of 5 stars,116 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-excel-skills,,"Pivot Tables And Charts, Data Quality, Prompt Engineering, Excel Formulas, Data Storytelling, Forecasting, Data Presentation, Excel Macros, Dashboard, Predictive Modeling, Data Visualization Software, Microsoft Copilot",Excel and Copilot Fundamentals | Data Cleaning & Processing with Copilot in Excel | Advanced Data Analysis & Visualization with Copilot in Excel | Automation & Advanced Techniques with Copilot in Excel,
Use Power Platform for Custom & Automated Solutions,3.7 out of 5 stars,43 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/use-power-platform-for-custom-and-automated-solutions,2 modules,"Workflow Management, Business Process, Microsoft Power Automate/Flow, Business Process Automation, Data Modeling, Automation, User Interface (UI), Cloud Applications, Microsoft Power Platform, Application Development",Create custom solutions for everyday problems | Build an automated solution,
Google Data Analytics,4.8 out of 5 stars,170K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Interviewing Skills, Applicant Tracking Systems, Tableau Software, Rmarkdown, Sampling (Statistics), Presentations, Data Storytelling, Data Presentation, Stakeholder Communications, Data Visualization Software, Interactive Data Visualization, Data Validation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",
Harnessing the Power of Data with Power BI,4.6 out of 5 stars,1.6K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi,3 modules,"Data-Driven Decision-Making, Analytical Skills, Data Transformation, Business Intelligence, Power BI, Data Collection, Data Visualization Software, Data Analysis, Microsoft 365",Data analysis in business | The right tools for the job | Final project and assessment: Harnessing the power of data in Power BI,
Microsoft 365 Fundamentals,4.7 out of 5 stars,5.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/microsoft-365-fundamentals,,"Collaborative Software, Microsoft Word, Multimedia, Data Import/Export, Microsoft PowerPoint, Technical Documentation, Presentations, Excel Formulas, Document Management, Editing, Writing, Proofreading",Work Smarter with Microsoft Word | Work Smarter with Microsoft Excel | Work Smarter with Microsoft PowerPoint,
Microsoft Full-Stack Developer,4.5 out of 5 stars,172 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,,"GitHub, Authentications, SQL, Continuous Integration, HTML and CSS, Debugging, ASP.NET, Full-Stack Web Development, Role-Based Access Control (RBAC), Graph Theory, CI/CD, Application Deployment",Foundations of Coding Full-Stack | Introduction to Programming With C# | Introduction to Web Development | Blazor for Front-End Development | Back-End Development with .NET | Database Integration and Management | Full-Stack Integration | Security and Authentication | Performance Optimization and Scalability | Data Structures and Algorithms | Deployment and DevOps | Full-Stack Developer Capstone Project,
