課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Microsoft Excel VBA and Macros,4.5 out of 5 stars,177 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-excel-vba-and-macros,1 module,"Strategic Decision-Making, Data Manipulation, Automation, Data Analysis, Excel Macros, Microsoft Excel, Visual Basic (Programming Language), Productivity Software",Microsoft Excel VBA and Macros,"Arkadi Avanesyan, Coursera Instructor Network"
"Conditional Formatting, Tables and Charts in Microsoft Excel",4.7 out of 5 stars,220 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/conditional-formatting-tables-charts-microsoft-excel,,"Microsoft Excel, Data Literacy, Data Analysis, Data Visualization Software, Pivot Tables And Charts, Exploratory Data Analysis, Data Analysis Software, Spreadsheet Software",,"Paula Del Rey, Coursera Project Network"
Preparing  Data for Analysis with Microsoft Excel,4.7 out of 5 stars,4.6K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel,4 modules,"Data Analysis, Spreadsheet Software, Data Manipulation, Data Management, Productivity Software, Microsoft Excel, Power BI, Data Cleansing, Excel Formulas",Excel fundamentals | Formulas and functions | Preparing data for analysis using functions | Final project and assessment:  Preparing data for analysis with Microsoft Excel,
Create a Project Management Tracker using Microsoft Excel,4.6 out of 5 stars,836 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-project-management-tracker-microsoft-excel,,"Collaborative Software, Data Validation, Microsoft Excel, Project Planning, Productivity Software, Project Coordination, Project Management, Spreadsheet Software, Project Management Software",,"Paula Del Rey, Coursera Project Network"
Create a Financial Statement using Microsoft Excel,4.5 out of 5 stars,733 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-financial-statement-using-microsoft-excel,,"Bookkeeping, Financial Accounting, Financial Data, Microsoft Excel, Balance Sheet, Data Entry, Excel Formulas, Profit and Loss (P&L) Management, Financial Reporting, Financial Statements",,"Paula Del Rey, Coursera Project Network"
"Finding, Sorting, & Filtering Data in Microsoft Excel",4.7 out of 5 stars,441 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/finding-sorting-filtering-data-microsoft-excel,,"Data Entry, Spreadsheet Software, Business Intelligence, Data Analysis Expressions (DAX), Microsoft Excel",,"Judy Richardson, Coursera Project Network"
From Excel to Power BI,4.5 out of 5 stars,1.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/from-excel-to-power-bi,1 module,"Microsoft Excel, Interactive Data Visualization, Business Intelligence, Data Presentation, Data Import/Export, Data Analysis, Data Analysis Expressions (DAX), Business Analytics, Dashboard, Power BI, Data-Driven Decision-Making, Microsoft Power Platform, Data Visualization Software, Data Modeling, Data Sharing, Data Visualization, Data Manipulation",From Excel to Power BI,"Keith Gibson, Knowledge Accelerators"
How to Use Lookup Reference Math and Text Functions in Excel,4.4 out of 5 stars,463 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/how-use-lookup-reference-math-text-functions-excel,,"Data Validation, Spreadsheet Software, Microsoft Excel",,"Summer Scaggs, Coursera Project Network"
Excel Skills for Business: Essentials,4.9 out of 5 stars,50K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-essentials,7 modules,"Data Visualization, Excel Formulas, Data Entry, Microsoft Excel, Data Management, Spreadsheet Software, Productivity Software",Critical Core of Excel | Performing calculations | Formatting | Working with Data | Printing | Charts | Final Assessment,"Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Professor Yvonne Breyer, Macquarie University"
Everyday Excel,4.7 out of 5 stars,3.9K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/everyday-excel,,"Mathematical Modeling, Microsoft Word, Data Import/Export, Excel Formulas, Statistical Modeling, Financial Analysis, Excel Macros, Predictive Modeling, Cash Flows, Data Validation, Analysis, Microsoft Excel","Everyday Excel, Part 1 | Everyday Excel, Part 2 | Everyday Excel, Part 3 (Projects)","Charlie Nuttelman, University of Colorado Boulder"
