課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Business Analytics with Excel: Elementary to Advanced,4.8 out of 5 stars,3.9K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-excel,6 modules,"Financial Analysis, Business Modeling, Business Analytics, Analysis, Risk Modeling, Operations Research, Data Modeling, Predictive Analytics, Statistical Methods, Mathematical Modeling, Resource Allocation, Business Process Modeling, Risk Analysis, Statistical Analysis, Complex Problem Solving, Process Optimization, Regression Analysis, Microsoft Excel, Linear Algebra, Transportation Operations",Introduction to Excel: Basics and Best Practices | What-If Analysis in Excel | Decision Analysis through Regression and NPV | Linear Programming | Transportation and Assignment Problems | Integer Programming and Nonlinear Programming,"Joseph W. Cutrone, PhD, Johns Hopkins University",Starts Jul 17,Flexible schedule,Approx. 23 hours.Learn at your own pace
Business Analytics with Excel: Elementary to Advanced,4.8 out of 5 stars,3.9K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/business-analytics-excel,6 modules,"Financial Analysis, Business Modeling, Business Analytics, Analysis, Risk Modeling, Operations Research, Data Modeling, Predictive Analytics, Statistical Methods, Mathematical Modeling, Resource Allocation, Business Process Modeling, Risk Analysis, Statistical Analysis, Complex Problem Solving, Process Optimization, Regression Analysis, Microsoft Excel, Linear Algebra, Transportation Operations",Introduction to Excel: Basics and Best Practices | What-If Analysis in Excel | Decision Analysis through Regression and NPV | Linear Programming | Transportation and Assignment Problems | Integer Programming and Nonlinear Programming,"Joseph W. Cutrone, PhD, Johns Hopkins University",Starts Jul 17,Flexible schedule,Approx. 23 hours.Learn at your own pace
"Financial Analysis: Portfolios, Risks, Strategic Decisions",4.4 out of 5 stars,122 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-analysis-portfolios-risks-strategic-decisions,1 module,"Financial Management, Market Dynamics, Investments, Risk Analysis, Asset Management, Finance, Financial Market, Financial Forecasting, Risk Management, Financial Planning, Investment Management, Quantitative Research, Business Valuation, Financial Analysis, Portfolio Management","Financial Analysis: Portfolios, Risks, Strategic Decisions","Arkadi Avanesyan, Coursera Instructor Network",Starts Jul 17,1 hour to complete,
Investment Risk Management,4.4 out of 5 stars,2K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/investment-risk-management,,"Risk Analysis, Investments, Portfolio Management, Statistics, Financial Market, Financial Analysis, Financial Management, Investment Management, Risk Management, Return On Investment",,"Bekhruzbek Ochilov, MCSI, PAGRC, Coursera Project Network",,1 hour,Learn at your own pace
Create a Financial Statement using Microsoft Excel,4.5 out of 5 stars,737 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-financial-statement-using-microsoft-excel,,"Microsoft Excel, Bookkeeping, Financial Reporting, Financial Accounting, Financial Statements, Data Entry, Excel Formulas, Financial Data, Balance Sheet, Profit and Loss (P&L) Management",,"Paula Del Rey, Coursera Project Network",,2 hours,Learn at your own pace
Microsoft Power BI Data Analyst,4.6 out of 5 stars,7.6K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst,,"Database Design, Power BI, Microsoft Power Platform, Data Storage, Data Collection, Business Intelligence, Data Visualization, Microsoft Excel, Data Quality, Statistical Visualization, Advanced Analytics, SQL","Preparing  Data for Analysis with Microsoft Excel | Harnessing the Power of Data with Power BI | Extract, Transform and Load Data in Power BI | Data Modeling in Power BI | Data Analysis and Visualization with Power BI | Creative Designing in Power BI | Deploy and Maintain Power BI Assets and Capstone project | Microsoft PL-300 Exam Preparation and Practice",,Starts Jul 17,Flexible schedule,"5 months, 10 hours. a weekLearn at your own pace"
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6 out of 5 stars,1.3K reviews,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/advanced-valuation-and-strategy,5 modules,"Business Valuation, Financial Analysis, Private Equity, Strategic Thinking, Business Strategy, Game Theory, Competitive Analysis, Investment Banking, Mergers & Acquisitions, Strategic Decision-Making, Cash Flows, Corporate Finance, Return On Investment",Executive Summary | Discounted Cash Flow Analysis | Corporate Strategy | Corporate Real Options | Option Games,"Han Smit, Dyaran Bansraj, Nishad Matawlie, Yashvir Gangaram Panday, RenÃ©e Spigt, Erasmus University Rotterdam",Starts Jul 17,Flexible schedule,Approx. 16 hours.Learn at your own pace
Forecasting Financial Statements & Valuation for Accountants,4.6 out of 5 stars,38 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/forecasting-financial-statements-business-valuation-accountants,9 modules,"Trend Analysis, Cash Flow Forecasting, Balance Sheet, Financial Statements, Financial Forecasting, Financial Analysis, Generally Accepted Accounting Principles (GAAP), Finance, Financial Accounting, Financial Modeling, Business Valuation, Financial Statement Analysis",Orientation | Module 1: Beyond the Financials - External | Module 2: Beyond the Financials- Internal | Module 3:  Non-GAAP Adjustments | Module 4:  Forecasting | Module 5: Forecasting- Advanced | Module 6:  Valuation | Module 7: Valuation- Advanced Part 1 | Module 8: Valuation- Advanced Part 2,"W. Brooke Elliott, Nerissa C. Brown, PhD, CFE, Brian Hamm, University of Illinois Urbana-Champaign",Starts Jul 17,Flexible schedule,Approx. 17 hours.Learn at your own pace
Wharton Business and Financial Modeling Capstone,4.6 out of 5 stars,502 reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/wharton-business-financial-modeling-capstone,5 modules,"Regression Analysis, Investment Management, Business Analytics, Financial Analysis, Data Modeling, Presentations, Microsoft Excel, Microsoft PowerPoint, Risk Modeling, Business Modeling, Portfolio Management, Financial Modeling",Getting Started | Steps 1 and 2: Yahoo Finance | Step 3: Creating an optimal risky portfolio on the efficient frontier | Step 4: Optional exercise using CAPM tables | Step 5: Creating Your Asset Allocation & Final Presentation,"Richard Lambert, Robert W. Holthausen, Richard Waterman, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Preparatory Certificate in Finance and Financial Markets,4.7 out of 5 stars,425 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/finance-and-financial-markets,,"Mergers & Acquisitions, Financial Statement Analysis, Enterprise Risk Management (ERM), Environmental Social And Corporate Governance (ESG), Business Valuation, Annual Reports, Balance Sheet, Wealth Management, Financial Analysis, Financial Statements, Banking Services, Loans",Corporate Finance Fundamentals | Accounting Fundamentals | Reading Financial Statements | Introduction to Capital Markets | Economics for Capital Markets | Introduction to Banking | Introduction to Financial Planning and Wealth Management | Introduction to Risk Management | Fundamentals of Credit | Introduction to ESG,"CFI (Corporate Finance Institute), Corporate Finance Institute",Starts Jul 17,1 month,at 10 hours. a week
