課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Angular Fundamentals: Building Responsive Web Apps with Ease,4.6 out of 5 stars,27 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/angular-fundamentals-building-responsive-web-apps-with-ase,4 modules,"Angular, Model View Controller, Web Design and Development, User Interface (UI), Software Testing, Authentications, TypeScript, HTML and CSS, Responsive Web Design, UI Components, Web Applications, Data Validation, Javascript and jQuery, Authorization (Computing), JavaScript Frameworks, Bootstrap (Front-End Framework), Security Controls",Introduction to AngularJS | Angular Routing and Forms | Angular Services and HTTP Communication | Advanced Angular Concepts and Bootstrap,,Starts Jul 19,8 hours to complete,
Introduction to On-Device AI,4.5 out of 5 stars,17 reviews,Beginner · Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-on-device-ai,,"Artificial Intelligence, Applied Machine Learning, PyTorch (Machine Learning Library), Android (Operating System), Embedded Software, Performance Testing, Hardware Architecture, Computer Vision, Artificial Intelligence and Machine Learning (AI/ML), Tensorflow, Real Time Data, Mobile Development",,Krishna Sridhar,,1 hour,Learn at your own pace
Advanced Java,3.7 out of 5 stars,11 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/advanced-java-certification-course,5 modules,"Spring Framework, Spring Boot, Java Programming, Application Performance Management, Application Servers, Data Access, Object-Relational Mapping, Model View Controller, Java, Database Management, Restful API, Web Applications, SQL, Server Side, Application Frameworks","Introduction to Advanced Java and JDBC | Servlets - Development, Deployment, and Features | JSP - Fundamentals and Practical Implementations | Spring Framework | Spring Boot",,Starts Jul 19,12 hours to complete,
Protection of Information Assets,4.8 out of 5 stars,6 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/packt-protection-of-information-assets-2vnoe,4 modules,"Cyber Risk, Encryption, Cybersecurity, Data Security, Cloud Computing, Information Privacy, Network Security, Cloud Security, Authorization (Computing), Computer Security Incident Management, Data Loss Prevention, Cryptography, Identity and Access Management, Security Testing, Information Assurance, Vulnerability Scanning, Penetration Testing, Security Controls","Frameworks, Roles, and Data Protection | Access Management, Logging, and Data Protection | Network Security, Cryptography, and Cloud Computing | Security Testing, Incident Management, and Forensics",Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Jakarta Persistence (JPA),5 out of 5 stars,13 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/java-database-connectivity-jakarta-persistence,3 modules,"Data Access, JUnit, Hibernate (Java), Relational Databases, Java Platform Enterprise Edition (J2EE), Databases, Query Languages, Data Mapping, Object-Relational Mapping, Transaction Processing, Java",Java Persistence Architecture | Queries and Lifecycle | Associations,Derek Parsons,Starts Jul 19,12 hours to complete,
Visual Basic Programming: Inheritance and Polymorphism,4.6 out of 5 stars,15 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/visual-basic-inheritance-polymorphism,4 modules,"Object Oriented Programming (OOP), Program Development, Unified Modeling Language, Visual Basic (Programming Language), Data Import/Export, Microsoft Development Tools, Software Engineering, Data Modeling, Computer Programming, File Management, Data Structures, .NET Framework",File Input and Output | Inheritance | Polymorphism | Interfaces,Aspen Olmsted,Starts Jul 19,22 hours to complete,
Introduction to GitHub Actions,2.9 out of 5 stars,18 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-github-actions,,"Software Testing, DevOps, YAML, GitHub, Automation, CI/CD",,"Alfredo Deza, Duke University",,Hands-on learning,Learn more
Introduction to Java and Programming Basics,4.4 out of 5 stars,8 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-introduction-to-java-and-programming-basics-e66rj,6 modules,"Object Oriented Programming (OOP), Software Installation, Debugging, Computer Programming, Program Development, Eclipse (Software), Integrated Development Environments, Java Programming, Development Environment",Introduction | Installing Java 11 | Introduction to Java Programming with JShell Using Multiplication Table | Introduction to Method with Multiplication Table | Introduction to Java Platform | Introduction to Eclipse - First Java Project,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
"Advanced JavaScript 3: Objects, Collections, Functions",N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-javascript-3-objects-collections-functions,3 modules,"Data Management, Web Development, Object Oriented Programming (OOP), Performance Tuning, Javascript, Software Design Patterns, Data Structures",Creating Custom Objects | Collections and Symbols | Advanced Function Patterns and Generators,Tom Chant,Starts Jul 19,Flexible schedule,Learn at your own pace
Mocking with JUnit,3.5 out of 5 stars,11 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/mocking-j-unit,2 modules,"Test Tools, Test Case, Software Testing, JUnit, Java, Testability, Unit Testing",Mocking Objects | Using a Mock Object Controller,Grayson Lyvers,Starts Jul 19,3 hours to complete,
