課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
AWS Advanced,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/aws-architect-associate-aws-advanced,4 modules,"Amazon Web Services, Infrastructure as Code (IaC), Cloud Security, AWS Identity and Access Management (IAM), System Monitoring, Cloud Computing Architecture, Serverless Computing, Application Deployment, Amazon CloudWatch, Devops Tools, Amazon Elastic Compute Cloud, Cloud Management, API Gateway, Scalability, Cloud Infrastructure, Load Balancing, Amazon S3",Scalability and Load Balancing | Messaging and Integration | Monitoring and Management | Serverless Computing,,Starts Jul 19,Flexible schedule,Learn at your own pace
VPC Network Peering,N/A,N/A,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-vpc-network-peering-0xypr,,"Network Administration, Cloud Computing, Cloud Services, Virtual Private Networks (VPN), Google Cloud Platform, General Networking, DevOps",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Introduction to Amazon Elastic Container Service,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-amazon-elastic-container-service,1 module,"Application Lifecycle Management, Containerization, System Monitoring, Scalability, Amazon Web Services, Amazon Elastic Compute Cloud, Docker (Software), Application Deployment",Getting started with Amazon Elastic Container Service,,Starts Jul 19,Flexible schedule,Learn at your own pace
Google Cloud Pub/Sub: Qwik Start - Command Line,N/A,N/A,Beginner · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-google-cloud-pub-sub-qwik-start-command-line-nnzjc,,"Google Cloud Platform, Public Cloud, Middleware, Command-Line Interface, DevOps, Cloud Management",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Craft an AutoGPT Gen AI Instrument with Rust & GPT-4,N/A,N/A,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/packt-craft-an-autogpt-code-generation-ai-instrument-leveraging-rust-and-gpt-4,,"ChatGPT, Automation, Web Applications, Command-Line Interface, Generative AI, Rust (Programming Language), Authentications, Development Environment, Databases, Unit Testing, OpenAI, Restful API",Introduction and Rust Basics | Intermediate Rust Programming and Web Server Development | Advanced Rust Programming and AutoGPT Development,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
App Engine: Qwik Start - Java,N/A,N/A,Beginner · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-app-engine-qwik-start-java-jp6zm,,"Cloud Applications, Java Programming, DevOps, Cloud Services, Platform As A Service (PaaS), Java, Application Deployment, Cloud Computing, Web Applications, Application Development, Google App Engine, Google Cloud Platform",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Cloud: Infrastructure as a Service - Master's,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/illinois-tech-cloud-infrastructure-as-a-service-mit,9 modules,"Disaster Recovery, Virtual Machines, Cloud Infrastructure, Virtualization, Cloud Security, Cost Management, Cloud Storage, DevOps, Continuous Integration, Cloud Management, Cloud-Native Computing, Serverless Computing, Infrastructure As A Service (IaaS), Business Continuity, Capacity Management, Cloud Computing, Amazon Web Services, Cloud Applications","Module 1: Introduction to Infrastructure as a Service (IaaS) | Module 2: Virtualization, Containers, Networking and Storage in the Cloud | Module 3: DevOps, Continuous Integration/Delivery, Serverless Computing | Module 4: Cloud Migration and Cost Management | Module 5: Management, Monitoring and Logging | Module 6: Security in the Cloud | Module 7: Disaster Recovery and Business Continuity | Module 8: Cloud-native Applications, Examples and Course Recap | Summative Course Assessment","Thomas Johnson, Illinois Tech",Starts Jul 19,Flexible schedule,Learn at your own pace
Crafting Effective User Stories in Agile - Agile Excellence,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/crafting-effective-user-stories-in-agile-excellence,3 modules,"Scalability, Sprint Planning, Sprint Retrospectives, Continuous Improvement Process, Continuous Delivery, Agile Methodology, Scrum (Software Development), Lean Methodologies, Continuous Integration, Kanban Principles, Agile Project Management, Agile Software Development, Organizational Change, Scaled Agile Framework, Performance Metric, DevOps","Scaling Scrum in the Enterprise | Lean and DevOps for Continuous Delivery | Metrics, KPIs, and Improvement Techniques",Board Infinity,Starts Jul 19,,
Machine Learning Operations (MLOps): Getting Started - Français,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/mlops-fundamentals-fr,4 modules,"Automation, MLOps (Machine Learning Operations), Containerization, Data Processing, Application Lifecycle Management, Continuous Deployment, Applied Machine Learning, Google Cloud Platform, Machine Learning, DevOps, CI/CD","Bienvenue dans le module ""OpÃ©rations de machine learning (MLOps) : premiers pas"" | Utiliser des opÃ©rations de machine learning | Vertex AI et MLOps sur Vertex AI | RÃ©sumÃ©","Google Cloud Training, Google Cloud, Qwiklabs Terms of Service",Starts Jul 19,Flexible schedule,Learn at your own pace
Managing a GKE Multi-tenant Cluster with Namespaces,N/A,N/A,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-managing-a-gke-multi-tenant-cluster-with-namespaces-kej1g,,"Role-Based Access Control (RBAC), Cloud Infrastructure, Google Cloud Platform, Capacity Management, System Monitoring, DevOps, Multi-Tenant Cloud Environments, Kubernetes",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
