課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Ruby Scripting for DevOps,4.5 out of 5 stars,22 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/ruby-scripting-for-devops,,"Scripting Languages, Scripting, DevOps, Computer Programming Tools, Devops Tools, Ruby (Programming Language), Software Development Tools",,"Rudi Hinds, Coursera Project Network"
Podman for the Absolute Beginners - Hands-On DevOps,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-podman-for-the-absolute-beginners-hands-on-devops-slsc6,9 modules,"Software Installation, Command-Line Interface, Data Management, Network Administration, Docker (Software), DevOps, Data Storage, Application Deployment",Introduction to Podman | Getting Started with Podman | Working with Images in Podman | Working with Containers in Podman | Building Images with Containerfile | Networking in Podman | Volumes in Podman | Containerizing Applications (Sample Application) | Pods in Podman,Packt - Course Instructors
Linux: I/O Redirection for DevOps,4.8 out of 5 stars,72 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/rudi-hinds-linux-io-redirection-for-devops,,"Bash (Scripting Language), Linux Commands, Command-Line Interface, Scripting, Shell Script, Unix Commands, Linux, Unix Shell",,"Rudi Hinds, Coursera Project Network"
Infrastructure Automation with OpenTofu – Hands-On DevOps,N/A,N/A,Intermediate · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-infrastructure-automation-with-opentofu-hands-on-devops-12fxb,17 modules,"Debugging, Configuration Management, Amazon S3, Terraform, Amazon Elastic Compute Cloud, Devops Tools, Amazon Web Services, Command-Line Interface, Kubernetes","Introduction | Getting Started with OpenTofu | OpenTofu Configuration Language | OpenTofu Providers | Registries with GUI [Update June 2024] | OpenTofu Workflow and Resources | Migrating from Terraform to OpenTofu | Input Variables in OpenTofu | Output Values in OpenTofu | Provisioners and Connection Block | Data Sources in OpenTofu | Modules and Registry Operations | State and State Files in OpenTofu | OpenTofu Remote State and Backends | Working with OpenTofu | Meta-Arguments, Functions and Workspaces | Sample OpenTofu Projects",Packt - Course Instructors
Microsoft Full-Stack Developer,4.5 out of 5 stars,167 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-full-stack-developer,,"Application Deployment, Graph Theory, HTML and CSS, Continuous Integration, CI/CD, C# (Programming Language), Full-Stack Web Development, Role-Based Access Control (RBAC), Authentications, Debugging, SQL, Microsoft Copilot",Foundations of Coding Full-Stack | Introduction to Programming With C# | Introduction to Web Development | Blazor for Front-End Development | Back-End Development with .NET | Database Integration and Management | Full-Stack Integration | Security and Authentication | Performance Optimization and Scalability | Data Structures and Algorithms | Deployment and DevOps | Full-Stack Developer Capstone Project,
Gemini for DevOps Engineers - Português Brasileiro,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gemini-for-devops-engineers-ptbr,1 module,"Generative AI Agents, Google Cloud Platform, Cloud Infrastructure, Cloud Management, Kubernetes, DevOps, Development Environment",Gemini para engenheiros de DevOps,"Google Cloud Training, Google Cloud"
Gemini for DevOps Engineers - Bahasa Indonesia,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gemini-for-devops-engineers-id,1 module,"Event Monitoring, Devops Tools, Google Cloud Platform, Infrastructure as Code (IaC), Development Environment, Continuous Delivery, Kubernetes, DevOps",Gemini untuk Engineer DevOps,"Google Cloud Training, Google Cloud"
Architecting with Google Compute Engine en Español,4.8 out of 5 stars,1.6K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/gcp-architecture-es,,"Application Deployment, Kubernetes, CI/CD, Cloud Computing Architecture, Cloud Infrastructure, Data Storage, Cloud Computing, Generative AI, Terraform, Cloud Applications, Cloud Management, Microservices",Google Cloud Fundamentals: Core Infrastructure en EspaÃ±ol | Essential Cloud Infrastructure: Foundation - EspaÃ±ol | Essential Cloud Infrastructure: Core Services en EspaÃ±ol | Elastic Cloud Infrastructure: Scaling and Automation en EspaÃ±ol | Reliable Cloud Infrastructure: Design and Process en EspaÃ±ol,"Google Cloud Training, Google Cloud"
Microsoft Back-End Developer,4.6 out of 5 stars,120 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-back-end-developer,,"Application Deployment, Graph Theory, Continuous Integration, CI/CD, C# (Programming Language), Database Management, Role-Based Access Control (RBAC), Authentications, Debugging, SQL, Microsoft Copilot, Back-End Web Development",Foundations of Coding Back-End | Introduction to Programming With C# | Back-End Development with .NET | Database Integration and Management | Security and Authentication | Performance Optimization and Scalability | Data Structures and Algorithms | Deployment and DevOps,
Gemini for DevOps Engineers - 繁體中文,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gemini-for-devops-engineers-zh-tw,1 module,"Continuous Deployment, Software Documentation, Cloud Infrastructure, Cloud Management, DevOps, Application Deployment, Kubernetes, Google Cloud Platform, Generative AI, Development Environment",éç¼éä½å·¥ç¨å¸«å°ç¨ Gemini,"Google Cloud Training, Google Cloud"
